Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Schwein;Fleisch und Innereien/Rind;Fleisch und Innereien/Geflügel";pro 100g essbarer Anteil;498;3.3;1;1.4;0.4;0.1;0;0;22;74.6
Getreideflocken (Durchschnitt);;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;1470;3.2;0.6;0.9;1.4;64;1.5;9.7;10.8;12.9
Getreideriegel mit Schokoladeüberzug;;Süssigkeiten/Riegel;pro 100g essbarer Anteil;1920;20.2;10.9;6.6;2;58;37.1;5.7;8.5;6.4
Getreideriegel, ohne Ueberzug und Füllung;;Süssigkeiten/Riegel;pro 100g essbarer Anteil;1750;12.8;5.4;4.5;2.2;64.2;32.1;6;7.9;8.4
Gipfeli (Durchschnitt);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1670;22;12.8;5.1;1.4;41.1;2.7;3.4;7.8;26.4
Glarner Schabziger;Glarner Kräuterkäse;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;559;0.5;0.3;0.1;0;;;0;31.6;58.3
Gorgonzola;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1480;31.2;18.7;7.4;1.4;0.1;0.1;0;19;42.4
Granatapfel, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;342;1.2;0.1;0.1;1;14.3;13.3;2.3;1.4;79.4
Grapefruit (weiss oder rot), roh;Pampelmuse;Früchte/Früchte frisch;pro 100g essbarer Anteil;177;0.5;;;;8;6.6;0.9;0.9;88.6
Greyerzer, vollfett;Gruyère;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1640;32;19.2;7.5;1.5;0;0;0;26.4;36
Griessbrei, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;392;3;1.7;0.7;0.2;11.8;4.8;0.3;4.6;80.3
Griessbrei, zubereitet (mit Vollmilch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;392;3;1.7;0.7;0.2;11.8;4.8;0.3;4.6;80.3
Griessschnitte, zubereitet (mit teilentrahmter Milch);;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;599;6.4;3.3;1.6;0.5;15;4;0.5;6.1;72.1
Griessschnitte, zubereitet (mit Vollmilch);;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;637;7.5;4;1.9;0.6;15;4;0.5;6;71.1
Grittibänz;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1380;11.1;6.4;2.6;0.9;46.9;2.8;2.2;9.2;31.2
Gugelhopf Grossmutter Art;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1920;32;13.2;14;2.2;33.3;26.9;3.1;8.8;23.6
Gulaschsuppe;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;281;2.4;1;1;0.2;6.3;1.4;0.4;4.8;85.3
Gummibonbon mit Fruchtessenz;;Süssigkeiten/Bonbons, Frucht- und Kaugummi;pro 100g essbarer Anteil;1450;0;0;0;0;78.6;74.7;0;6.6;12.1
Gurke, in Essig eingelegt;"Essiggurke;Cornichon";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;59;0.1;;;;2.1;1.9;1;0.7;93
Gurke, roh;Salatgurke;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;57;0.1;;;;2;1.9;0.8;0.7;96
Hackbraten, im Ofen gebacken;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;697;7.7;2.1;4.2;0.9;8.1;0.7;0.6;15.7;67.8
Hackplätzli (Rind), gebraten in Rapsöl HOLL;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;782;9.1;2.5;4.9;0.9;6.4;1.2;0.7;19.5;64.4
Haferbrei, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;560;4.6;2.2;1.3;0.6;15.8;5.7;1.8;6.3;71.5
Haferbrei, zubereitet (mit Vollmilch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;616;6.2;3.2;1.6;0.7;15.8;5.7;1.8;6.2;70.1
Haferflocken;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;1600;7.5;1;3;3;59.5;1;10.5;13.5;8.7
Hafergetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;197;1.5;0.2;0.5;0.7;7.8;3.6;0.2;0.5;90.7
Hafergetränk, nature, mit Calcium und Vitaminen angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;202;1.5;0.2;0.5;0.7;7.8;3.6;0.9;0.5;90.7
Haferkleie;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;1560;7;1.3;2.4;2.8;50.8;1.5;15.4;18.5;6.6
Halbentrahmte Milch 1.5% Fett, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;192;1.5;0.9;0.4;0;4.8;4.8;0;3.2;89.7
Halbfettbutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;1610;39.8;24.1;12;1.5;3.5;3.5;0;4.8;51.9
Halbrahm, pasteurisiert;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;1130;27.9;16.7;6.6;1.3;3.3;3.3;0;2.3;65.8
Halbrahm, UHT;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;1030;25.1;15.1;5.9;1.2;3.7;3.7;0;2.5;67.8
Halbweissbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1020;1.1;0.1;0.1;0.5;46.4;0.4;3.7;9.4;40.2
Halbweissbrot (mit jodiertem Kochsalz);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1020;1.1;0.1;0.1;0.5;46.4;0.4;3.7;9.4;40.2
Hamburger, doppelt;;Gerichte/Fast Food;pro 100g essbarer Anteil;1080;12.1;6.3;4.1;1;24.7;3.3;1.7;11.9;47.4
Hanföl;;Fette und Öle/Öle;pro 100 ml;3330;90;8.9;11.4;65;0;0;0;0;0
Hart- und Halbhartkäse, vollfett (Durchschnitt);;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1650;32.1;19.5;7.6;1.5;0;0;0;26.6;40.7
Hartkaramellen, Hartbonbons;;Süssigkeiten/Bonbons, Frucht- und Kaugummi;pro 100g essbarer Anteil;1630;0.3;0.2;0.1;0;95;95;0;0.5;4.1
Hartweizengriess, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;1500;1.4;0.2;0.1;0.5;71.4;1;3.4;12;12.1
Hase (Durchschnitt), roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;485;3;1;0.5;0.8;0;0;0;22;74
Haselnuss;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2730;59.5;4.2;46.6;6.1;10.1;3;9.7;16.4;4
Haselnuss-Schokolade-Brotaufstrich;;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;2300;33;12.7;15.4;3.6;55.9;54.5;2.9;6;2.7
Haselnusskekse;Haselnussguetzli;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1970;27.7;8;16;2.3;47.4;23.3;3.5;6.7;13.5
Haselnussmakrone;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;2260;37;2.6;29;3.8;37.5;33;6;12.2;8.8
Haselnussöl;;Fette und Öle/Öle;pro 100 ml;3330;90;7.5;67.9;11.6;0;0;0;0;0
Haselnussstängeli;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;2360;36.6;12.5;17.7;3.1;47;22.6;3.7;10.5;3.3
Hecht, roh;;Fisch/Süsswasserfische;pro 100g essbarer Anteil;344;0.9;0.2;0.2;0.2;0;0;0;18.4;79.6
Hefeteig (mit Butter), süss, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1310;11.1;6.1;2.7;1;43.2;6.4;1.9;8.7;35.8
Hefeteig (mit pflanzlichem Fett), süss, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1260;11.1;3.6;4.8;2.2;39.9;1.1;2.1;9.2;38.4
Heidelbeere, gefriergetrocknet;;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1420;4.4;0.3;0.6;1.7;56.4;46.4;24.4;6.1;6.7
Heidelbeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;220;0.3;0;0.2;0;10.6;10;1.5;0.9;85.7
Heilbutt, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;495;3.9;0.5;0.9;1.2;0;0;0;20.6;74.5
Himbeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;183;0.8;0.1;0.2;0.4;5.8;5.4;4.3;1.2;86.8
Hinterschinken;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;440;2.3;0.9;1.1;0.2;0.7;0.7;0;20.2;73.6
Hirsch (Durchschnitt), roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;474;3.3;1.5;1.4;0.2;0;0;0;20.6;74.9
Hirsch, Entrecôte, roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;470;2.1;1.2;0.9;0.5;0;0;0;23.1;71.5
Hirse, Korn geschält;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;1520;3.9;1;0.9;1.9;68.8;1.5;3.8;10.6;12.1
Hirseflocken, Vollkorn;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;1520;3.9;0.9;0.8;1.7;68.8;1.6;3.9;10.6;10.5
Hirsotto, gekocht;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;606;3;0.5;1.6;0.7;24.7;1.1;1.5;3.7;67.3
Hollandaisesauce;;Verschiedenes/Saucen;pro 100g essbarer Anteil;876;18;9;5.3;0.7;9.3;6.2;0.1;3;66.2
Holunderbeere, schwarz, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;264;1.7;0.1;0.1;1.1;7.4;7.4;4;2.5;84
Honig (Blütenhonig);;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;1300;0;0;0;0;76;76;0;0.4;20
Hot Dog in Weissbrot mit Ketchup und Senf;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;908;6.3;2.2;2.8;0.9;29.6;2.5;1.9;9.1;53.5
Hühnerei, ganz, festgekocht;;Eier;pro 100g essbarer Anteil;648;10.9;2.9;4.1;1.8;0.3;0.3;0;14;74.7
Hühnerei, ganz, roh;;Eier;pro 100g essbarer Anteil;583;9.8;2.6;3.7;1.7;0.3;0.3;0;12.6;76
Hühnereigelb, roh (Eidotter);;Eier;pro 100g essbarer Anteil;1440;31.3;8.8;12;5;0.3;0.2;0;16.4;52.7
Hühnereiweiss, roh (Eiklar);;Eier;pro 100g essbarer Anteil;190;0;0;0;0;0.4;0.4;0;10.8;87.5
Hülsenfrüchte (Durchschnitt), gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;536;1.9;0.3;0.4;1;14.7;1;6.5;9.6;67.5
Hülsenfrüchte (Durchschnitt), getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;1420;4.9;0.7;1;2.7;39.7;2.7;16.5;25.1;14.3
Hummus;;Verschiedenes/Saucen;pro 100g essbarer Anteil;846;14;1.8;6.8;4.2;9.4;0.9;5.1;7.3;64.6
Hüttenkäse, nature;Cottage cheese;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;418;4.5;2.7;1;0.2;2.4;2.2;0;12.4;78.6
Instant-Kartoffelstock, zubereitet (mit Wasser und Butter);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;337;2.8;1.6;0.6;0.2;11.5;1.8;0.8;2;83
Jägersauce;;Verschiedenes/Saucen;pro 100g essbarer Anteil;245;1.8;0.5;0.7;0.2;8;2.5;0.5;2.2;85.8
Joghurt-Salatsauce (ohne Öl);;Fette und Öle/Salatsaucen;pro 100 ml;267;3.3;2;0.8;0.2;5;5;0.1;3.6;88
Joghurt Bifidus, nature;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;276;3.6;2.2;0.9;0.2;4.5;4.5;0;4;85.5
Joghurt gezuckert (Durchschnitt);;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;443;3.4;2;0.9;0.2;14.7;13.8;0.4;3.7;77.7
Joghurt mit Aroma, mager, mit Süssstoffen;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;198;0.1;0.1;0;0;7;7;0;4.4;86.6
Joghurt mit Früchten, mager, mit Süssstoffen;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;206;0.1;0.1;0;0;7;7;0.9;4.5;86.6
Joghurt, Erdbeer;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;424;2.7;1.6;0.6;0.1;15.2;14.3;0.9;3.4;76.8
Joghurt, Haselnuss;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;497;4.6;2.5;1.6;0.4;15;14;0.9;3.8;74.7
Joghurt, Mokka;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;417;3.1;1.9;0.7;0.1;14.1;13.2;0;3.7;77.4
Joghurt, Mokka, Bio;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;401;3.3;;;;13.1;12.4;0;3.4;78.2
Joghurt, nature;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;277;3.6;2.2;0.9;0.2;4.5;4.5;0;3.9;85.6
Joghurt, nature, mager;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;178;0.1;0.1;0;0;5.5;5.5;0;4.7;88.2
Joghurt, Schokolade;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;505;3.9;2.4;0.9;0.2;16.9;15.5;0.8;3.9;73.5
Joghurt, Vanille;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;413;3;1.8;0.7;0.1;14;13.1;0;3.7;77.6
Joghurtalternative aus Soja, mit Früchten oder Aroma;;Milch und Milchprodukte/Milchersatzprodukte;pro 100g essbarer Anteil;344;1.8;0.3;0.4;1;12.2;10.9;1.4;3.4;80.8
Joghurtalternative aus Soja, mit Früchten oder Aroma, mit Calcium angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100g essbarer Anteil;344;1.8;0.3;0.4;1;12.2;10.9;1.4;3.4;80.8
Joghurtalternative aus Soja, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100g essbarer Anteil;187;2.2;0.4;0.5;1.1;1.5;0.6;1.5;4;90.4
Joghurtalternative aus Soja, nature, mit Calcium angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100g essbarer Anteil;187;2.2;0.4;0.5;1.1;1.5;0.6;1.5;4;90.4
Johannisbeere, rot, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;209;0.7;0.2;0.1;0.4;7.1;6.6;4.6;1.6;82.1
Johannisbeere, schwarz, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;300;0.9;0.1;0.1;0.5;9.7;9.7;5.8;1.3;80.5
Johannisbeerkuchen, hausgemacht (mit süssem Mürbeteig);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;902;11.7;5.8;3.9;1.2;22.6;10.6;3.2;3.5;59.2
Johannisbeerkuchen, hausgemacht, gebacken (mit Kuchenteig);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;607;6.9;3.1;2.5;1;15.5;6.2;3.5;3.5;70.7
Johannisbeerkuchen, hausgmacht, gebacken (mit Blätterteig);Johannisbeerwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;598;7.1;3.1;2.7;1;14.8;6.2;3.4;3.3;71.5
Kaffee löslich, Pulver;Instant-Kaffee;Alkoholfreie Getränke/Kaffee;pro 100g essbarer Anteil;1070;;;;;42.6;3.6;19.1;11.2;3.5
Kaffee, schwarz, ungezuckert;;Alkoholfreie Getränke/Kaffee;pro 100 ml;6;0;0;0;0;0.3;0;0.1;0.1;99.6
Kaffeerahm;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;664;15;9;3.5;0.7;3.8;3.8;0;2.6;77.5
Kakaobutter;;Fette und Öle/Fette;pro 100g essbarer Anteil;3700;100;59.7;32.9;3;0;0;0;0;0
Kakaopulver;;"Süssigkeiten/Schokolade und Kakaoerzeugnisse;Alkoholfreie Getränke/Kakaogetränke";pro 100g essbarer Anteil;1740;24.5;14.4;8.2;0.8;10.8;2.2;32.7;22.5;5.1
Kaki, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;297;0.3;0;0.1;0.1;14.3;13.9;3.4;0.9;81.8
Kalb, Brust, gekocht (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;975;15.5;6.6;7.3;1.2;0;0;0;23.5;60.9
Kalb, Brust, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;848;14.5;6.2;6.8;1.1;0;0;0;18.3;63.9
Kalb, Eckstück, roh;Plätzli;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;434;1.6;0.5;0.5;0.2;0;0;0;22.2;75.3
Kalb, Filet, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;502;3.8;1.3;1.3;0.4;0;0;0;21.2;73.7
Kalb, Gehacktes, roh;Hackfleisch;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;437;2.4;1.2;1.3;0.4;0;0;0;20.5;75.3
Kalb, Geschnetzeltes, gebraten (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;521;1.1;0.5;0.5;0.3;0;0;0;28.2;70.6
Kalb, Geschnetzeltes, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;415;1.1;0.5;0.5;0.3;0;0;0;22;75.2
Kalb, Haxe, geschmort (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;695;5.1;1.6;1.6;0.5;0;0;0;29.7;65.1
Kalb, Haxe, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;513;4.4;1.4;1.4;0.4;0;0;0;20.7;73.8
Kalb, Kotelett, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;674;8.7;3.6;3.7;0.8;0;0;0;20.7;69.8
Kalb, Leber, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;569;4.3;1.3;0.8;1.1;4.6;0;0;19.6;70.3
Kalb, Milken, roh;Bries;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;418;3.4;1.3;1.1;0.2;0;0;0;17.2;77.8
Kalb, Niere, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;470;5;2.2;1.2;0.3;1;;0;15.8;77
Kalb, Nierstück, Steak, gebraten (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;606;3.9;1.3;1.3;0.4;0;0;0;27.3;68.9
Kalb, Nierstück, Steak, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;476;2.4;1.1;1.2;0.4;0;0;0;22.8;73.4
Kalb, Runder Mocken, roh;Saftplätzli;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;439;1.8;0.8;0.9;0.4;0;0;0;21.9;74.6
Kalb, Schulter, Braten, im Ofen gebraten (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;684;5.4;1.6;1.5;0.6;0;0;0;28.6;66.1
Kalb, Schulter, Braten, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;520;4.8;1.4;1.4;0.5;0;0;0;20.2;73.7
Kalb, Voressen, roh;Ragout;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;429;2.4;1.1;1.3;0.4;0;0;0;20;74.1
Kalb, Zunge, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;754;11.6;4.2;5.3;0.9;1.9;;0;17.2;68.4
Kalbfleisch (Durchschnitt exkl. Innereien, Kotelett), roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;536;4.8;1.9;2;0.5;0;0;0;21.1;74.1
Kalbsbratwurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;943;19.2;7.9;9.7;1.9;1.2;1.2;0;12.5;63.4
Kalbspiccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;909;11.6;3;5.8;1.4;5.5;0.1;0.3;22.5;60.1
Kalbsplätzli, gebraten (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;542;1.6;0.5;0.5;0.2;0;0;0;28.4;70
Kalbsplätzli, gebraten in HOLL-Rapsöl;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;775;8.6;0.9;5.9;1.1;0;0;0;26.8;64.6
Kalbsragout mit Sauce, zubereitet;Voressen;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;355;3.2;0.6;2.1;0.4;2.9;1.2;0.6;10.7;82.6
Kalmar, roh;"Seppia;Polpo;Calamare;Tintenfisch";Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;352;1.1;0.2;0.1;0.3;2.3;;0;16;79.4
Kaninchen (Durchschnitt), gekocht (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;858;10.3;3.5;1.7;2.7;0;0;0;28;61.7
Kaninchen (Durchschnitt), roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;626;7.5;2.5;1.2;2;0;0;0;20.5;71.1
Kaninchen, Filet, roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;469;1.5;0.5;0.5;0.4;0;0;0;24.3;72.7
Karotte, gedämpft (ohne Zugabe von Salz);Rüebli;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;186;0.4;0.1;0.1;0.1;8;6.3;2.8;0.7;87.9
Karotte, roh;"Rüebli;Möhre";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;176;0.4;0.1;0.1;0.1;7.6;6;2.7;0.6;89.6
Karottensaft;Rüeblisaft;"Alkoholfreie Getränke/Frucht- und Gemüsesäfte;Gemüse/Gemüsesäfte";pro 100 ml;138;0.1;;;;6.8;4.8;0.9;0.7;90.6
Kartoffel, geschält, gedämpft (ohne Zugabe von Salz);Gschwellti;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;320;0.1;0;0;0.1;15.6;0.7;2.1;2;80.2
Kartoffel, geschält, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;320;0.1;0;0;0.1;15.6;0.7;2.1;2;79.7
Kartoffelflocken, mit Milchpulver und Salz (Instant-Kartoffelstock);Instant-Kartoffelstock;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;1540;5.3;3.1;1.2;0.5;65.5;10.3;4.7;11.3;13
Kartoffelgratin dauphinois, zubereitet;;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;533;7.8;4.6;1.8;0.4;11.3;2.4;1.3;2.5;77.1
Kartoffelgratin Savoyer Art, zubereitet;;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;314;2.3;1.3;0.6;0.2;10.6;0.5;1.4;2.1;83.5
Kartoffelsalat mit Essig-Öl-Sauce;;Gerichte/Salate;pro 100g essbarer Anteil;400;3.8;0.3;2.2;1.1;12.8;0.6;1.7;1.7;80
Kartoffelsalat mit Mayonnaise-Joghurt-Sauce;;Gerichte/Salate;pro 100g essbarer Anteil;335;2.2;0.4;0.6;1.1;12.4;0.7;1.6;1.8;82
Kartoffelstärke;;"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;Verschiedenes/Gelier- und Bindemittel";pro 100g essbarer Anteil;1430;0.1;0;0;0.1;83.1;0;0.1;0.6;15.7
Kartoffelstock, zubereitet (mit Rahm und Butter);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;578;8.4;5;2;0.5;12.9;1.1;1.6;2;75
Kartoffelstock, zubereitet (mit teilentrahmter Milch und Butter);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;371;2.6;1.5;0.6;0.2;13.2;1.4;1.6;2.2;80.3
Kartoffelstock, zubereitet (mit Vollmilch und Butter);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;379;2.8;1.7;0.6;0.2;13.2;1.4;1.6;2.2;80.1
Käse in Salzlake (Kuhmilch);;"Milch und Milchprodukte/Frischkäse und Quark;Milch und Milchprodukte/Weichkäse";pro 100g essbarer Anteil;1060;20.7;12.4;4.9;0.9;1.4;1.4;0;16;55.3
Käse in Salzlake (Schaf- und Ziegenmilch);Feta;"Milch und Milchprodukte/Frischkäse und Quark;Milch und Milchprodukte/Weichkäse";pro 100g essbarer Anteil;1010;18.8;12.1;4.8;0.9;1.5;0;0;16.7;58.6
Käsekuchen, gebacken (mit Blätterteig);Käsewähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;1250;21.9;12.4;5.4;1.3;11.7;1.2;0.5;13.8;52.1
Käsekuchen, gebacken (mit Kuchenteig);Käsewähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;1260;20.8;11.8;5.1;1.3;14.5;1.2;0.6;14.3;49.8
Käsereibutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;3070;82.5;49.5;19.4;3.8;0.6;0.5;0;0.4;16.5
Käseschnitte, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;1140;12.1;6.8;2.9;1;26;1;2.3;13.8;46.2
