Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Crêpes mit Schinken, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;807;9.7;4.7;2.8;0.9;13.2;2.2;0.5;12.9;63.9
Crêpes mit Speck, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;1050;16.3;7.4;5.6;1.4;15;2.4;0.6;11.3;57
Crêpes mit Zimt und Zucker, zubereitet;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;1070;11.5;5.7;3.1;1.1;29;14.9;0.7;8.3;50.7
Crêpes nature, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;977;13.2;6.6;3.6;1.2;19;2.9;0.7;9.4;57.8
Crevettencocktail, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;692;13.3;7.8;3.1;0.7;4;3.3;0.3;4.4;76.1
Croque Monsieur ;Toast mit Schinken und Käse;Gerichte/Sandwiches;pro 100g essbarer Anteil;1090;9.4;4.4;2.9;1.1;26.6;2.6;1.8;16.4;46.1
Dattel, getrocknet;;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1220;0.6;0.3;0.3;;64.7;64.7;7.5;2.4;22.9
Dinkelmehl, Ruch, Typ 1100;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1480;2.2;0.3;0.5;1.2;65;1.4;5.7;14.3;12.7
Dinkelmehl, Vollkorn, Typ 1900;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1460;2.7;0.4;0.7;1.5;60;1.2;9.4;15.6;12.4
Dinkelmehl, weiss, Typ 550;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1480;1.5;0.3;0.3;0.7;69;0.9;2.8;13.3;13.1
Distelöl;;Fette und Öle/Öle;pro 100 ml;3330;90;9.2;12.4;64.9;0;0;0;0;0.5
Doppelrahm, pasteurisiert;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;1930;50;30;11.7;2.3;2.7;2.7;0;1.9;46.9
Dörrbohne, eingeweicht, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;334;0.5;0.1;0;0.3;10.5;5.6;6.3;5.1;77.6
Dorsch, Filet, gedämpft (ohne Zusatz von Fett und Salz);;Fisch/Meeresfische;pro 100g essbarer Anteil;305;0.5;0.1;0;0.2;0;0;0;17;82.6
Dorsch, roh;Kabeljau;Fisch/Meeresfische;pro 100g essbarer Anteil;323;0.4;0.1;0;0.2;0;0;0;18.1;81.1
Dulce de Leche;Milchkonfitüre;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;1260;7.3;4.4;1.7;0.3;52.6;52.6;0;5.7;34.2
Edelkastanie, roh;Marroni;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;887;1.9;0.3;1;0.5;41.2;14;8.4;2.9;44.9
Egli, roh;Flussbarsch;Fisch/Süsswasserfische;pro 100g essbarer Anteil;334;0.7;0.1;0.1;0.3;0;0;0;18;80.4
Eierlikör, 16.5 vol%;;Alkoholhaltige Getränke/Sonstige alkoholische Getränke;pro 100 ml;1310;7.7;2.2;3.2;1.1;30.8;30.8;0;4.4;51.5
Eieromeletten mit Käse, zubereitet;Französische Omeletten;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;796;14.5;6.4;4.4;1.5;1.2;1.2;0.1;14;70.1
Eieromeletten mit Schinken, zubereitet;Französische Omeletten;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;596;9.6;3.3;3.3;1.3;1.3;1.3;0.1;12.8;76.2
Eieromeletten mit Speck, zubereitet;Französische Omeletten;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;729;13.4;4.8;5.1;1.6;1.3;1.3;0.1;12.5;72.8
Eieromeletten, zubereitet;Französische Omeletten;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;627;11.1;3.8;3.8;1.5;1.4;1.4;0;11.4;76.1
Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz);Pfifferling;Gemüse/Pilze;pro 100g essbarer Anteil;115;0.6;0.1;0;0.3;0.2;0.2;5.7;2.6;91.7
Eierschwamm, roh;Pfifferling;Gemüse/Pilze;pro 100g essbarer Anteil;98;0.5;0.1;0;0.3;0.2;0.2;4.7;2.3;91.5
Eisbergsalat, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;65;0.2;0;0;0.1;1.6;1.6;1.8;1;94.6
Eistee, gezuckert;;"Alkoholfreie Getränke/Süssgetränke;Alkoholfreie Getränke/Tee";pro 100g essbarer Anteil;128;0;0;0;0;7.5;7.5;0;0;92.5
